"","","","","","","","Good for large groupsFull barPower mealsTrendyVegetarian-friendlyDate placeNotable chefTourist spotReservations requiredConversation-friendlyTakeoutCateringPrivate roomsClassic NYNo steps at entranceNotable wine listNYCVisit: Power brokerNYCVisit: Glamour houndNYCVisit: Trendsetter","AmEx, DC, Disc, MC, V","AmEx, DC, MC, V","","","","","","","AmEx, DC, Disc, MC, V","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","yes","","Midtown West","Tribeca","","","","","","","Tribeca","","","","","","","","Mon&#8211;Thu 5:45&#8211;10:15pm; Fri, Sat 5:45&#8211;11:15pm; Sun 5:45&#8211;10:15pm","Mon&#8211;Thu 5:45pm&#8211;midnight; Fri, Sat 5:45pm&#8211;1am; Sun 5:45&#8211;11pm","","","","","","","Mon&#8211;Fri 11:45am&#8211;2:15pm, 5:45&#8211;10:15pm; Sat, Sun 5:45&#8211;10:15pm","","","","","","","","1003","105 Hudson St at Franklin St","","","","","","","105 Hudson St at Franklin St","","","","","","","","40 W 57th St between Fifth and Sixth Aves","Nobu 57	","Next Door Nobu","","","","","","","Nobu","","","","","","","","","212-757-3000","212-334-4445","","","","","","","212-219-0500","","","","","","","","","Average hot dish: $14. Average sushi roll: $7","","","","","","","AmEx, DC, Disc, MC, V","","","","","","","","Japanese","","Subway: F to 57th St; N, R, W to Fifth Ave&#8211;59th St","Subway: 1 to Franklin St","","","","","","","Subway: 1 to Franklin St","","","","","","","","","yes","TONY MR Randall Lane","x","6/24/2004","212-757-3000","Raw review inFirst edit inFact check inFinal edit inCopy edit inReady to galley","","10013","10013","","","","","","","","","","","","","","","","$$$","Nobu57","","ED","","","","","","","","","","","","","","","","","www.noburestaurants.com",""
"","","","","","","Gennario Lombardi opened his shop in Soho in 1905&#151;the first pizzeria in the U.S. It&#146;s hard to vouch for how the pizzas tasted a century ago, but there&#146;s more elbow room now after a renovation, if not the charm of the old joint. Still, Lombardi&#146;s continues to bake a hot contender for best pie.","DeliveryTakeoutClassic NYVegetarian-friendlyKid-friendlyPrivate roomsGood for large groups","Cash only","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","","","Chinatown/Little Italy","","","","","","","","","","","","","","","","Mon&#8211;Thu 11:30am&#8211;11pm; Fri, Sat 11:30am&#8211;midnight; Sun 11:30am&#8211;10pm","","","","","","","","","","","","","","","","1006","","","","","","","","","","","","","","","","32 Spring St between Mott and Mulberry Sts","Lombardi&#146;s","","","","","","","","","","","","","","","","","212-941-7994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italian: Pizza ","Italian: $15 and less","Subway: 6 to Spring St","","","","","","","","","","","","","","","","","","ebarr","","6/18/2003","212-941-7994","","","10012","","","","","","","","","","","","","","","","","$$","Lombardis","","ED","","","","","","","","","","","","","","","","","www.firstpizza.com",""
"After-work crowdSingles or pick-up sceneNotable specialty drinks, explain belowPub grub or food menu","","","","caiparinbas, sangria","","","CateringEntertainmentNotable wine listFull barSolo diningPrivate roomsLively sceneDining at barDate placeWheelchair accessible bathroomBar sceneNYCVisit: Culture buffNYCVisit: RomanticConversation-friendly","AmEx, MC, V","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","","","Soho","","","","","","","","","","","","","","","","Mon&#8211;Thu, Sun 5pm&#8211;2am; Fri, Sat 5pm&#8211;4am","","","","","","","","","","","","","","","","1007","","","","","","","","","","","","","","","","33 Crosby St between Broome and Grand Sts","&Ntilde;","","","","","","","","","","","","","","","","","212-219-8856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Spanish","","Subway: 6 to Spring St","","","","","","","","","","","","","","","","","","AnneLise Sorensen (E&D 2009)","x","5/13/2004","212-219-8856","Fact check inRaw review inFirst edit inFinal edit inCopy edit in","extensive spanish wines list","10013","","","","","","","","","","","","","","","","","$","&Ntilde;","","ED","","","","","","","","","","","","","","","","","",""
"","","","","","","","TakeoutNotable wine listPrix-fixe menuVegetarian-friendlySolo diningGood for large groupsWheelchair accessible bathroomDate placeReservations requiredFull barCateringLate night","AmEx","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","","","Soho","","","","","","","","","","","","","","","","Daily 6pm&#8211;midnight","","","","","","","","","","","","","","","","1008","","","","","","","","","","","","","","","","113 Thompson St between Prince and Spring Sts","Omen","","","","","","","","","","","","","","","","","212-925-8923","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Japanese","","Subway: C, E to Spring St; N, R, W to Prince St; 6 to Spring St","","","","","","","","","","","","","","","","","","AnneLise Sorensen (E&D 2008)","x","6/10/2004","212-925-8923","Fact check inRaw review inFirst edit inFinal edit inCopy edit inReady to galley","Lots of sake; Surprises like whites from Friuli, Italy","10012","","","","","","","","","","","","","","","","","$$$","Omen","","ED","","","","","","","","","","","","","","","","","",""
"","","","","","","Since 1975, Raoul&#146;s has been serving first-rate French fare in an authentic bistro setting, filled with antique furnishings, pressed-tin ceilings and walls, and black-and-white leather booths. Parents with a modest sensibility may want to situate their kids away from the paintings of female nudes. The food is as inviting as the atmosphere. <em>Magret</em> duck breast is sliced and served over kale and carrot puree, and a thick, charred cut of sirloin smothered in black-peppercorn sauce is the tender and tasty.","Date placeReservations requiredFull barPrivate roomsTrendyGarden seatingGood for large groupsClassic NYDining at barBar sceneConversation-friendlyTakeoutDessert placeNYCVisit: RomanticNYCVisit: Glamour houndNYCVisit: Culture buffLate night","AmEx, DC, MC, V","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","yes","","Soho","","","","","","","","","","","","","","","","Daily 5pm&#8211;1am","","","","","","","","","","","","","","","","1009","","","","","","","","","","","","","","","","180 Prince St between Sullivan and Thompson Sts","Raoul&#146;s","","","","","","","","","","","","","","","","","212-966-3518","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","French: $25 and up","","Subway: C, E to Spring St; N, R to Prince St","","","","","","","","","","","","","","","","","","ebarr","x","7/15/2004","212-966-3518","Raw review inFirst edit inFinal edit inCopy edit inReady to galleyFact check in","","10012","","","","","","","","","","","","","","","","","$$$","Raouls","","ED","","","","","","","","","","","","","","","","","www.raouls.com",""
"Cheap drinksTV or sports barPub grub or food menu","","","","","","The burgers at this dimly lit Village standby are legendary, and the New Yorkers who love them legion&#151;which can make for long lines on occasion. Yankees on the tube, and a jukebox that plays everything from Calexico to Coltrane, can help pass the time, though. Go for the Bistro Burger, a fat patty of broiled beef, cheese and smoky bacon on a sesame-seed bun for $6.75. A plate of crisp shoestring fries will set you back only $2.50.","TakeoutSmoking accommodatedFull barNo steps at entranceTourist spotDining at barWheelchair accessible bathroomSolo diningNYCVisit: TrendsetterNYCVisit: ExplorerNYCVisit: Culture buffBar sceneLate night","Cash only","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","yes","","West Village","","","","","","","","","","","","","","","","Mon&#8211;Sat 11:30am&#8211;4am; Sun noon&#8211;4am","","","","","","","","","","","","","","","","1012","","","","","","","","","","","","","","","","331 W 4th St at Jane St","Corner Bistro","","","","","","","","","","","","","","","","","212-242-9502","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","American: $15 and less","","Subway: A, C, E to 14th St; L to Eighth Ave","","","","","","","","","","","","","","","","","yes","ebarr","","6/9/2004","212-242-9502","Fact check inRaw review inFirst edit inFinal edit inCopy edit inReady to galley","","10014","","","","","","","","","","","","","","","","","$","CornerBistro","","ED","","","","","","","","","","","","","","","","","",""
"","","","","","","It&#146;s not rude to point at Elvie&#146;s; it&#146;s expected. <em>Turo-turo</em> means &#147;point-point&#148; in Tagalog, and that&#146;s how you order, selecting from the Filipino dishes on display. Choose the chicken adobo, tender meat in a sweet-and-sour sauce of vinegar, soy and star anise, and take it to one of the slim red wooden tables. Don&#146;t leave without sampling one of our favorite Cheap Eats sweets: The Halo Halo is a vertical miracle&#151;a tall glass cradling layers of crushed ice, milk, sweet beans and golden jackfruit topped with an orb of vanilla ice cream.","TakeoutDeliveryCateringPrix-fixe menuSolo diningNo steps at entranceBYOBCheap eats","MC, V","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","","","East Village","","","","","","","","","","","","","","","","Daily 11am&#8211;9pm","","","","","","","","","","","","","","","","1018","","","","","","","","","","","","","","","","214 First Ave between 12th and 13th Sts","Elvie&#146;s Turo-Turo (CLOSED)","","","","","","","","","","","","","","","","","212-473-7785","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Asian: Filipino","","Subway: L to First Ave","","","","","","","","","","","","","","","","","","ebarr","x","7/21/2005","212-473-7785","Fact check inRaw review inFirst edit inFinal edit inCopy edit inReady to galley","","10003","","","","","","","","","","","","","","","","","$","ElviesTuroTuro(CLOSED","","ED","yes","","","","","","","","","","","","","","","","",""
"","","","","","","Since 1995, crowds have been vying for seats beneath this trattoria&#146;s canopy of red Christmas lights. Although a slew of cut-rate Italian eateries have since joined the East Village neighborhood, diners still endure long waits and blas&eacute; service for a stab at Il Bagatto&#146;s affordable, well-executed dishes. Of course, there are worse places to wait than the woodsy bar, where a ceiling of tangled branches hovers above patrons sipping from a selection of 10 by-the-glass wines and 60 bottled choices. Once seated, the room is so tightly packed, it&#146;s hard to resist sticking your fork in your neighbor&#146;s <em>gnochetti verdi e blu</em> (spinach gnocchi in Gorgonzola sauce). The tiny open kitchen also makes garlicky mussels and <em>tagliolini</em> with a seafood-laden tomato sauce. It&#146;s great for a big family dinner on Sunday, when you can order meaty homestyle specials like lasagna, and osso buco with mashed potatoes.","Reservations requiredTakeoutCateringFull barNotable wine listGay-friendlyVegetarian-friendlyTrendyDate placeDeliveryConversation-friendlyNo steps at entranceWheelchair accessible bathroomBar scene","AmEx ","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","","","East Village","","","","","","","","","","","","","","","","Tue&#8211;Thu 5:30&#8211;11:45pm; Fri, Sat 5:30pm&#8211;12:45am; Sun 5&#8211;10:45pm","","","","","","","","","","","","","","","","1020","","","","","","","","","","","","","","","","192 E 2nd St between Aves A and B","Il Bagatto","","","","","","","","","","","","","","","","","212-228-0977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italian: $16-24","","Subway: F, V to Lower East Side&#8211;Second Ave","","","","","","","","","","","","","","","","","","ebarr","x","5/26/2004","212-228-0977","Raw review inFact check inFinal edit inFirst edit inCopy edit in","Well priced; all Italian","10009","","","","","","","","","","","","","","","","","$$$","IlBagatto","","ED","","","","","","","","","","","","","","","","","ilbagattonyc.com ",""
"","","","","","","","Outdoor seatingTakeoutDeliveryFull barVegetarian-friendlyDate placeGood for large groupsCateringBrunch","AmEx, MC, V","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","","","East Village","","","","","","","","","","","","","","","","Mon&#8211;Thu 4pm&#8211;midnight; Fri&#8211;Sun noon&#8211;midnight","","","","","","","","","","","","","","","","1022","","","","","","","","","","","","","","","","162 Ave A between 10th and 11th Sts","Orologio","","","","","","","","","","","","","","","","","212-228-6900","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Italian: $15 and less","","Subway: L to First Ave; 6 to Astor Pl","","","","","","","","","","","","","","","","","","rr ED05 Andrea Dunn","x","7/8/2004","212-228-6900","Fact check inReady to galleyCopy edit inFinal edit inFirst edit inRaw review in","","10009","","","","","","","","","","","","","","","","","$$","Orologio","","ED","","","","","","","","","","","","","","","","","www.orologiorestaurant.com",""
"","","","","","","A throwback to the artsy, affordable East Village of decades past, this Ukrainian diner is famous for such authentic savory grub as borscht, kielbasa and pierogi. Homemade treats like blintzes, poppy-seed bread and rice pudding will send your sweet tooth (or toothless sweetie) to heaven. Factor in fast, friendly service and lots of vegetarian options, and this landmark more than earns its cheery, inclusive appellation: Veselka means &#147;rainbow&#148; in Ukrainian.","High chairsTakeoutWine & beer onlyVegetarian-friendlyBrunchNo steps at entranceOutdoor seatingClassic NYSolo diningWheelchair accessible bathroom24 hoursCheap eatsBreakfastLate night","AmEx, DC, Disc, MC, V","","","","","","","","","","","","","","","","","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","New York, NY","","","East Village","","","","","","","","","","","","","","","","Daily 24hrs","","","","","","","","","","","","","","","","1024","","","","","","","","","","","","","","","","144 Second Ave at 9th St","Veselka","","","","","","","","","","","","","","","","","212-228-9682","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eastern European","","Subway: L to Third Ave; 6 to Astor Pl","","","","","","","","","","","","","","","","","","TONY 512 Cheap Eats Issue&#151;JOC","x","7/21/2005","212-228-9682","Fact check inRaw review inFirst edit inFinal edit inCopy edit in","","10003","","","","","","","","","","","","","","","","","$","Veselka","","ED","","","","","","","","","","","","","","","","","www.veselka.com",""
